Date,02T,03T(เก่า),03T(ใหม่),05T,07T,10T,11T,12T,15T,59T,61T,48T,49T,50T,52T,53T,54T,08T,13T,14T,16T,17T,18T,19T,20T,21T,22T,24T,25T,26T,27T,28T,29T,30T,31T,32T,33T,34T(เก่า),34T(ใหม่),35T,36T,37A,38A,39T,40T,41T,42T,43T,46T,47T,60T,62T,63T,44T,57T,58T,67T,68T,69T,70T,71T,72T,73T,74T
5/25/2015,26,N/A,N/A,N/A,N/A,28,26,N/A,17,21,24,N/A,65,N/A,12,9,30,N/A,32,36,34,24,N/A,26,29,32,N/A,58,32,23,26,23,25,21,23,26,27,N/A,23,40,40,41,32,26,35,27,N/A,20,34,27,27,17,13,N/A,33,N/A,32,32,28,24,23,35,33,27
5/26/2015,N/A,N/A,25,N/A,N/A,32,29,N/A,18,25,28,N/A,66,N/A,15,11,31,N/A,39,46,43,25,44,25,33,36,15,60,35,29,27,26,N/A,24,28,32,35,N/A,29,40,38,37,29,37,32,37,N/A,19,31,33,N/A,22,15,N/A,40,N/A,34,30,37,33,26,37,49,24
5/27/2015,31,N/A,31,27,N/A,29,30,N/A,19,26,30,N/A,47,N/A,15,12,34,N/A,34,44,37,26,41,23,32,30,15,45,36,25,27,23,N/A,20,24,22,16,N/A,20,38,32,43,30,25,26,35,N/A,29,34,35,23,23,15,N/A,38,34,38,33,36,34,26,37,52,46
5/28/2015,26,N/A,20,18,N/A,26,23,34,17,20,25,N/A,52,N/A,13,12,29,N/A,30,26,36,20,38,28,37,22,15,58,27,22,25,21,27,18,24,23,29,N/A,26,43,36,N/A,22,25,24,30,N/A,20,31,27,13,20,15,N/A,35,N/A,19,25,22,20,24,42,41,38
5/29/2015,25,N/A,21,20,N/A,25,24,27,17,19,20,N/A,51,N/A,13,11,33,N/A,30,22,36,19,38,31,N/A,24,14,52,41,18,24,21,22,18,22,23,41,N/A,25,42,35,29,18,25,25,32,N/A,18,34,30,20,21,16,N/A,34,N/A,25,29,35,29,N/A,37,42,20
5/30/2015,28,N/A,29,22,N/A,27,24,27,18,21,23,N/A,43,N/A,14,11,29,N/A,33,29,42,26,34,40,N/A,22,N/A,38,39,20,34,21,24,16,21,16,24,N/A,18,29,33,19,33,24,24,26,32,21,30,29,26,24,23,41,35,37,27,18,31,22,25,30,45,39
5/31/2015,26,N/A,20,21,N/A,26,26,27,17,20,23,N/A,53,N/A,13,11,27,N/A,28,25,38,22,34,27,N/A,N/A,N/A,42,40,19,25,27,26,23,24,17,32,N/A,21,22,25,21,18,19,19,22,26,19,34,28,25,27,16,41,27,18,27,16,27,20,22,33,30,42
6/1/2015,24,N/A,19,15,N/A,19,22,23,16,16,17,N/A,44,N/A,11,10,24,N/A,25,22,31,14,27,21,N/A,N/A,N/A,44,30,13,18,26,23,15,18,12,26,N/A,15,19,22,24,13,15,19,31,27,21,25,30,N/A,19,14,N/A,22,14,21,11,24,14,25,30,36,31
6/2/2015,27,N/A,30,21,N/A,25,N/A,30,19,23,30,N/A,55,N/A,14,12,31,N/A,27,35,36,21,45,31,N/A,N/A,N/A,48,32,22,27,29,22,21,21,21,35,N/A,29,25,24,31,19,15,17,36,25,13,25,28,N/A,24,19,N/A,33,16,23,15,30,16,21,28,31,35
6/3/2015,30,N/A,35,25,N/A,37,29,54,19,27,33,N/A,46,N/A,14,16,53,N/A,38,30,34,30,42,36,N/A,N/A,N/A,62,21,23,46,20,24,17,18,N/A,27,N/A,27,33,28,29,25,16,18,28,27,17,20,32,23,25,19,27,33,21,27,20,N/A,22,26,26,41,25
6/4/2015,21,N/A,12,N/A,N/A,29,23,36,16,18,21,N/A,52,42,11,15,32,N/A,33,26,24,20,35,27,34,24,N/A,56,24,22,18,20,18,18,N/A,26,24,N/A,24,29,N/A,29,18,15,24,N/A,30,20,21,25,27,31,23,35,24,22,21,20,N/A,16,32,23,44,28
6/5/2015,26,N/A,25,N/A,N/A,28,26,30,18,22,28,N/A,57,46,11,15,33,N/A,30,26,34,22,37,19,24,29,N/A,N/A,29,20,22,27,20,18,N/A,22,27,N/A,26,26,N/A,22,14,17,19,N/A,33,N/A,28,30,17,35,19,38,23,17,30,15,N/A,19,16,35,26,27
6/6/2015,29,N/A,25,N/A,N/A,24,26,34,18,20,23,N/A,48,47,13,13,30,N/A,27,29,N/A,25,38,24,19,26,15,N/A,36,20,27,26,26,18,18,22,28,N/A,24,20,20,24,18,13,16,35,35,N/A,32,26,24,26,19,34,19,16,31,11,31,20,27,33,33,26
6/7/2015,23,N/A,20,N/A,N/A,24,22,28,17,18,22,N/A,52,38,10,13,23,N/A,26,17,N/A,17,33,21,23,24,13,N/A,33,23,18,25,21,16,18,16,26,N/A,19,19,17,28,N/A,15,21,33,36,N/A,28,32,26,29,20,40,15,24,27,12,26,13,24,N/A,22,N/A
6/8/2015,21,N/A,N/A,N/A,N/A,21,25,32,19,19,28,N/A,49,46,13,14,43,N/A,N/A,22,N/A,19,44,27,32,23,15,N/A,N/A,20,20,20,23,N/A,22,21,29,N/A,27,27,24,32,16,16,16,35,29,N/A,18,27,9,22,16,38,18,21,22,14,27,15,22,41,24,30
6/9/2015,23,N/A,14,N/A,N/A,N/A,24,30,17,18,29,N/A,41,48,13,13,27,N/A,N/A,22,N/A,20,40,20,29,16,9,N/A,N/A,19,21,24,18,20,21,21,35,N/A,20,16,17,13,14,14,13,29,32,N/A,19,21,N/A,16,11,32,18,15,16,10,22,10,17,24,N/A,N/A
6/10/2015,22,N/A,15,21,N/A,25,11,31,16,21,31,N/A,42,44,13,14,32,N/A,N/A,30,23,19,38,21,30,25,11,53,36,21,17,27,22,19,20,N/A,30,N/A,17,15,N/A,20,13,14,19,24,28,N/A,14,29,N/A,21,16,30,16,12,23,11,21,12,19,22,N/A,44
6/11/2015,22,N/A,18,17,N/A,22,14,29,17,16,28,N/A,86,39,12,12,26,N/A,24,23,22,20,33,21,27,24,N/A,50,39,18,21,23,28,16,17,N/A,22,N/A,19,17,17,24,14,14,12,33,28,N/A,23,26,N/A,32,16,29,21,11,23,10,22,11,23,34,N/A,39
6/12/2015,23,N/A,20,18,N/A,22,10,32,17,17,29,N/A,54,40,12,13,31,N/A,26,29,20,18,34,31,35,29,N/A,61,32,21,20,32,31,16,N/A,36,31,N/A,32,15,17,29,10,12,18,31,21,N/A,26,30,29,28,15,33,21,13,17,12,28,13,18,29,N/A,32
6/13/2015,N/A,N/A,20,17,N/A,25,13,36,19,18,29,N/A,49,48,17,16,35,N/A,27,25,25,24,37,24,39,24,N/A,51,28,19,23,18,27,17,N/A,N/A,23,N/A,22,18,15,35,13,11,19,39,21,N/A,26,31,26,18,12,28,18,13,16,10,20,10,27,32,24,37
6/14/2015,N/A,N/A,19,19,N/A,22,N/A,29,17,18,28,N/A,39,44,12,14,33,N/A,27,20,N/A,18,30,25,25,27,N/A,51,26,14,19,17,29,22,N/A,N/A,26,N/A,21,19,15,20,N/A,12,15,29,24,N/A,26,34,22,22,13,23,16,15,20,12,21,9,25,20,27,40
6/15/2015,N/A,N/A,8,22,N/A,24,9,31,16,18,30,N/A,38,46,10,14,36,N/A,24,26,N/A,17,35,19,23,25,N/A,68,23,14,14,23,32,20,N/A,25,22,N/A,19,21,16,14,9,10,14,26,19,N/A,28,28,30,16,10,24,13,18,13,11,20,7,26,32,N/A,48
6/16/2015,N/A,N/A,18,20,N/A,22,13,37,17,19,27,N/A,51,46,11,14,30,N/A,25,23,N/A,16,43,30,40,24,N/A,98,24,18,21,19,25,19,18,23,21,N/A,24,14,17,24,13,13,16,36,19,N/A,29,23,21,19,13,28,18,15,18,12,23,10,22,27,N/A,36
6/17/2015,N/A,N/A,23,8,N/A,15,N/A,27,18,14,21,N/A,40,43,10,13,29,N/A,24,27,N/A,18,34,21,23,16,N/A,42,18,14,20,16,22,16,14,16,20,N/A,23,24,22,22,17,18,22,25,17,N/A,18,19,18,31,20,34,27,20,20,16,25,16,18,33,N/A,28
6/18/2015,N/A,N/A,30,21,N/A,26,N/A,25,17,17,28,N/A,52,52,12,13,32,N/A,30,35,N/A,18,42,22,28,16,N/A,35,18,15,26,15,22,19,17,16,24,N/A,20,27,20,16,15,15,22,25,N/A,N/A,21,21,15,25,21,37,24,18,20,14,24,15,10,24,N/A,28
6/19/2015,N/A,N/A,32,25,N/A,32,N/A,29,20,25,33,N/A,56,50,18,15,35,N/A,32,38,37,27,49,40,25,19,N/A,48,26,18,39,23,26,27,28,24,32,N/A,21,20,14,10,22,15,17,26,N/A,N/A,24,23,27,28,27,47,21,N/A,20,N/A,24,13,16,37,N/A,39
6/20/2015,N/A,N/A,34,33,N/A,25,N/A,29,19,21,31,N/A,56,52,17,22,33,N/A,27,40,34,28,40,31,22,19,N/A,45,37,15,31,22,27,16,21,17,28,N/A,20,17,21,20,17,18,18,26,N/A,N/A,28,32,29,39,33,47,18,17,20,N/A,27,13,30,23,N/A,35
6/21/2015,N/A,N/A,24,N/A,N/A,19,N/A,20,16,16,24,N/A,44,39,15,14,23,N/A,N/A,26,24,16,31,24,19,15,N/A,35,34,13,24,25,29,20,22,13,31,N/A,15,19,18,35,14,17,23,27,N/A,N/A,24,26,28,32,34,50,13,17,26,13,23,12,24,22,N/A,34
6/22/2015,N/A,N/A,37,N/A,N/A,25,N/A,30,19,25,34,N/A,58,48,18,15,31,N/A,29,34,40,28,50,42,24,26,N/A,49,43,24,37,34,38,35,38,31,51,N/A,31,24,21,34,22,21,29,32,N/A,N/A,26,38,36,47,40,61,16,17,23,18,32,15,30,19,N/A,39
6/23/2015,N/A,N/A,38,N/A,N/A,28,N/A,27,20,25,30,N/A,N/A,51,17,16,29,N/A,29,42,36,29,55,38,29,23,N/A,44,38,24,45,25,33,21,32,29,40,N/A,26,34,26,32,17,21,27,30,46,N/A,37,35,29,56,39,64,19,16,20,15,26,13,28,24,N/A,36
6/24/2015,N/A,N/A,30,N/A,N/A,24,N/A,27,18,21,30,N/A,N/A,46,15,13,27,N/A,32,32,27,22,56,33,22,N/A,N/A,30,31,17,31,24,37,23,27,22,31,N/A,20,34,29,39,25,32,29,29,40,N/A,26,28,29,65,44,68,26,17,26,21,29,21,19,28,N/A,24
6/25/2015,N/A,N/A,14,N/A,N/A,18,N/A,22,16,17,16,N/A,N/A,N/A,11,12,24,N/A,20,21,23,15,38,24,19,N/A,N/A,30,N/A,17,16,20,29,20,N/A,19,31,N/A,17,24,26,N/A,14,19,21,27,42,N/A,25,27,28,61,44,83,21,15,23,13,24,19,26,32,N/A,35
6/26/2015,N/A,N/A,17,N/A,N/A,21,N/A,28,17,18,21,N/A,N/A,N/A,11,12,29,N/A,24,24,30,22,38,23,24,N/A,N/A,35,N/A,21,17,22,32,22,28,28,27,N/A,23,14,20,17,11,11,18,25,46,N/A,25,27,23,60,46,78,15,12,N/A,13,25,10,18,23,N/A,41
6/27/2015,42,N/A,12,N/A,N/A,19,N/A,20,16,15,17,N/A,N/A,N/A,11,12,26,N/A,23,22,29,16,32,21,32,N/A,N/A,37,23,14,16,23,27,21,26,20,25,N/A,22,18,26,18,12,13,19,25,61,N/A,25,22,24,59,49,61,26,14,N/A,14,23,12,31,21,N/A,28
6/28/2015,41,N/A,13,N/A,N/A,21,N/A,24,18,16,17,N/A,N/A,N/A,10,13,29,N/A,24,23,26,20,33,24,26,N/A,N/A,53,24,17,16,29,41,26,29,27,34,N/A,27,20,23,19,11,18,24,22,52,N/A,23,23,32,43,37,70,20,17,N/A,13,23,15,22,30,26,44
6/29/2015,51,N/A,22,N/A,N/A,23,N/A,26,18,22,21,N/A,N/A,N/A,13,13,29,N/A,23,25,22,16,31,18,23,N/A,N/A,N/A,18,13,22,19,31,17,26,24,23,N/A,23,27,28,22,20,18,24,27,31,N/A,21,23,21,53,35,60,22,17,N/A,16,21,15,23,27,21,32
6/30/2015,57,N/A,31,N/A,N/A,22,N/A,27,20,23,24,N/A,N/A,N/A,16,13,29,N/A,25,33,31,21,44,27,20,N/A,N/A,54,30,21,36,31,32,27,30,24,38,N/A,18,32,31,29,19,22,27,26,N/A,N/A,26,27,29,45,36,55,24,20,28,21,29,20,26,25,18,32
7/1/2015,55,N/A,31,N/A,N/A,24,29,28,19,23,24,N/A,58,N/A,14,15,34,N/A,33,31,31,27,42,31,25,N/A,N/A,49,36,19,31,26,34,N/A,25,23,34,N/A,22,32,32,34,32,23,29,49,N/A,N/A,34,38,34,33,N/A,39,22,22,38,22,32,21,31,29,14,34
7/2/2015,51,N/A,35,N/A,N/A,27,25,32,20,28,31,N/A,63,N/A,16,14,34,N/A,33,44,35,33,52,30,27,N/A,N/A,58,48,19,42,28,34,28,32,21,36,N/A,20,38,35,47,42,32,36,49,N/A,N/A,40,49,33,30,N/A,40,25,23,39,27,41,25,44,39,19,37
7/3/2015,56,N/A,44,N/A,N/A,30,23,37,19,26,31,N/A,60,N/A,17,16,30,N/A,31,45,31,29,53,34,26,N/A,N/A,54,43,18,39,29,34,33,29,25,36,N/A,24,32,31,33,23,23,28,40,31,N/A,30,37,28,20,N/A,32,18,18,27,21,31,15,33,31,19,30
7/4/2015,65,N/A,49,33,N/A,36,37,43,22,38,37,N/A,74,N/A,N/A,16,39,N/A,35,55,48,39,58,52,33,N/A,N/A,64,55,31,50,40,43,37,36,32,44,N/A,31,31,35,30,27,26,32,43,31,N/A,32,45,38,16,N/A,31,28,74,32,25,36,25,39,42,16,51
7/5/2015,50,N/A,20,17,N/A,24,23,23,17,21,21,N/A,51,N/A,13,17,21,N/A,23,28,31,17,38,26,34,N/A,N/A,42,45,17,N/A,29,32,31,26,21,29,N/A,22,19,20,15,18,17,20,24,N/A,N/A,30,30,31,19,20,35,21,48,18,16,21,14,30,31,21,32
7/6/2015,46,N/A,25,32,N/A,28,28,38,20,26,26,N/A,58,N/A,14,15,35,N/A,38,40,50,27,46,30,31,N/A,N/A,49,38,27,N/A,36,38,33,30,36,39,N/A,32,25,23,27,17,19,24,38,N/A,N/A,26,42,N/A,18,25,31,16,23,20,19,24,12,30,30,19,45
7/7/2015,56,N/A,42,41,N/A,46,41,51,22,41,43,N/A,77,N/A,22,18,48,N/A,47,59,49,38,64,46,45,N/A,N/A,65,52,44,N/A,43,57,39,43,51,48,N/A,43,27,26,31,21,27,29,52,26,N/A,37,51,53,16,21,26,14,21,26,19,35,12,41,43,17,62
7/8/2015,76,N/A,67,N/A,N/A,54,48,67,27,49,50,N/A,88,N/A,27,21,56,N/A,56,69,60,49,72,60,48,N/A,N/A,100,64,47,59,59,73,56,61,59,61,N/A,52,26,22,29,19,16,28,51,32,25,17,53,62,18,13,37,20,24,16,19,21,7,50,22,23,59
7/9/2015,81,N/A,74,N/A,N/A,57,50,67,27,57,57,N/A,85,N/A,31,23,59,N/A,54,61,68,50,84,70,48,N/A,N/A,97,63,48,62,66,75,65,73,55,73,N/A,53,19,26,22,17,18,24,46,36,N/A,21,59,65,21,18,33,16,25,15,18,21,12,41,22,N/A,56
7/10/2015,71,N/A,58,N/A,N/A,51,50,58,24,48,51,N/A,79,N/A,25,23,54,N/A,50,67,63,50,80,58,46,N/A,N/A,77,61,43,57,57,60,58,59,50,63,N/A,50,32,39,44,36,29,40,52,47,N/A,45,55,58,14,13,31,27,32,25,28,42,36,50,46,N/A,62
7/11/2015,60,N/A,41,N/A,N/A,42,40,45,21,39,39,N/A,73,N/A,19,20,42,N/A,47,61,48,37,56,48,37,N/A,N/A,61,55,24,49,47,52,72,48,40,50,N/A,40,23,27,31,32,21,31,45,37,N/A,35,53,53,21,17,36,18,30,26,27,31,19,40,33,N/A,39
7/12/2015,43,N/A,19,N/A,N/A,N/A,19,23,17,17,18,N/A,49,N/A,12,N/A,29,N/A,26,22,21,20,32,23,21,N/A,N/A,37,37,N/A,23,29,35,49,26,21,28,N/A,19,23,27,21,14,16,26,25,26,33,31,36,25,25,18,27,14,N/A,13,20,20,8,35,35,N/A,47
7/13/2015,51,N/A,31,N/A,N/A,N/A,27,35,18,26,29,N/A,55,N/A,15,N/A,33,N/A,33,37,33,27,45,32,26,N/A,N/A,42,37,N/A,37,33,36,33,30,36,35,N/A,32,27,31,18,12,22,20,29,23,29,27,33,43,23,13,28,20,N/A,20,17,20,11,32,25,N/A,33
7/14/2015,53,N/A,32,N/A,N/A,33,33,44,20,34,33,N/A,65,N/A,17,N/A,N/A,N/A,40,41,36,28,48,36,35,N/A,N/A,71,35,32,39,28,30,36,29,32,39,N/A,29,28,26,19,21,22,23,32,20,33,21,35,45,16,17,26,19,N/A,20,16,20,10,30,25,N/A,26
7/15/2015,38,N/A,24,N/A,N/A,24,26,N/A,17,21,24,N/A,60,N/A,14,N/A,N/A,N/A,26,30,30,19,39,24,29,N/A,N/A,52,31,23,20,26,29,27,N/A,37,30,N/A,21,23,26,23,22,19,24,N/A,19,33,29,34,29,21,13,24,16,N/A,19,16,25,8,20,30,N/A,27
7/16/2015,38,N/A,13,N/A,N/A,18,19,N/A,16,15,16,N/A,45,N/A,10,N/A,N/A,N/A,28,25,24,18,35,20,24,N/A,N/A,41,23,20,13,23,36,26,N/A,28,29,N/A,20,18,22,15,19,22,19,14,25,32,28,24,26,24,23,42,14,N/A,20,11,21,7,25,23,N/A,29
7/17/2015,32,N/A,12,24,N/A,18,N/A,N/A,17,18,19,N/A,47,N/A,11,N/A,N/A,N/A,22,23,26,24,46,20,N/A,N/A,N/A,50,21,20,13,23,40,28,N/A,31,28,N/A,26,14,20,20,26,20,21,11,25,27,27,23,29,21,31,56,15,16,17,11,19,7,23,26,N/A,31
7/18/2015,33,N/A,13,23,N/A,18,N/A,N/A,16,15,17,N/A,45,N/A,10,N/A,28,N/A,25,24,32,26,34,20,N/A,N/A,N/A,45,23,23,17,27,38,30,31,33,27,N/A,23,16,21,22,18,23,23,18,28,43,25,22,31,19,27,45,16,15,22,16,24,8,27,36,N/A,36
7/19/2015,31,N/A,13,21,N/A,17,N/A,N/A,16,16,15,N/A,43,N/A,9,N/A,23,N/A,26,19,23,23,31,18,N/A,N/A,N/A,37,24,22,14,20,32,23,22,21,21,N/A,20,18,19,20,17,19,23,23,24,28,25,23,24,16,20,27,15,15,22,12,27,8,27,37,N/A,37
7/20/2015,21,N/A,15,20,N/A,18,N/A,N/A,16,17,17,N/A,42,N/A,11,N/A,24,N/A,21,21,27,18,44,16,N/A,N/A,N/A,45,18,22,16,18,33,23,16,25,19,N/A,23,N/A,33,29,17,23,23,25,17,26,20,18,21,18,18,36,16,23,18,19,29,10,20,31,N/A,24
7/21/2015,26,N/A,11,19,N/A,20,N/A,N/A,16,14,15,N/A,42,N/A,9,N/A,27,N/A,23,15,25,21,40,17,N/A,N/A,N/A,61,18,20,13,17,32,23,18,28,20,N/A,22,N/A,25,14,11,13,15,17,25,29,21,19,21,13,15,28,17,19,17,13,18,7,19,37,N/A,23
7/22/2015,36,N/A,17,25,N/A,26,N/A,N/A,22,19,19,N/A,52,N/A,12,N/A,30,N/A,26,22,31,20,38,20,N/A,N/A,N/A,45,28,24,22,16,27,22,16,31,20,N/A,22,15,25,12,13,19,17,34,33,38,26,27,24,20,21,31,13,18,11,8,18,8,30,27,N/A,30
7/23/2015,37,N/A,14,16,N/A,24,N/A,N/A,17,16,17,N/A,42,N/A,10,N/A,28,N/A,20,21,33,21,33,18,N/A,25,N/A,37,36,30,14,23,29,21,15,28,27,N/A,22,21,30,16,17,25,21,28,34,41,29,31,25,24,27,37,17,N/A,21,13,27,12,33,37,N/A,32
7/24/2015,44,N/A,27,28,N/A,29,N/A,N/A,18,21,28,N/A,54,N/A,12,N/A,33,N/A,30,29,41,24,39,23,N/A,28,N/A,47,41,28,28,27,33,27,26,34,35,N/A,25,15,23,10,17,16,17,32,28,43,25,38,24,24,27,39,16,N/A,16,12,23,7,26,29,N/A,30
7/25/2015,51,N/A,33,33,N/A,36,N/A,30,20,27,29,N/A,52,N/A,17,N/A,38,N/A,31,N/A,41,30,45,33,N/A,27,N/A,56,43,37,31,34,38,28,31,37,38,N/A,28,18,35,14,N/A,18,17,14,29,36,24,34,32,18,18,48,13,N/A,17,12,21,7,34,30,N/A,38
7/26/2015,47,N/A,26,33,N/A,32,N/A,31,20,27,32,N/A,45,N/A,15,N/A,41,N/A,39,N/A,45,32,50,34,N/A,34,N/A,45,44,29,28,28,40,31,35,33,30,N/A,30,11,29,11,16,15,14,20,29,35,21,28,32,21,19,38,14,N/A,15,10,21,5,43,32,N/A,40
7/27/2015,43,N/A,31,37,N/A,37,N/A,43,21,28,34,N/A,51,N/A,16,N/A,35,N/A,35,N/A,44,29,62,38,N/A,35,N/A,55,28,33,29,27,36,28,32,38,N/A,N/A,41,12,25,14,14,15,16,21,30,34,29,27,31,22,27,49,15,N/A,19,12,26,6,46,35,N/A,29
7/28/2015,30,N/A,17,24,N/A,37,N/A,27,17,22,30,N/A,56,N/A,13,N/A,30,N/A,26,N/A,32,22,41,24,N/A,29,N/A,49,24,29,19,21,36,29,23,32,26,N/A,26,15,23,16,14,16,20,29,36,36,26,29,21,29,39,51,16,N/A,25,14,36,11,41,41,N/A,41
7/29/2015,N/A,N/A,24,26,N/A,28,N/A,35,20,22,20,N/A,48,N/A,14,N/A,40,N/A,31,N/A,30,28,44,29,37,18,N/A,60,16,29,16,20,30,31,24,28,27,N/A,28,15,28,15,19,16,21,20,42,44,22,24,17,35,36,48,18,16,24,13,28,7,38,33,N/A,37
7/30/2015,33,N/A,18,24,N/A,24,23,32,19,23,22,N/A,45,N/A,14,N/A,38,N/A,28,N/A,33,25,N/A,22,26,14,N/A,31,15,26,19,N/A,34,35,28,27,25,N/A,32,16,24,18,18,19,21,22,41,42,20,20,19,16,22,43,16,13,23,15,26,9,36,26,N/A,27
7/31/2015,25,N/A,12,23,N/A,27,22,26,16,19,22,N/A,40,N/A,12,N/A,30,N/A,22,N/A,21,18,N/A,20,28,15,N/A,37,17,14,13,N/A,29,40,24,27,22,N/A,20,17,23,20,13,17,22,18,N/A,25,16,23,19,21,26,41,17,14,18,14,24,9,33,33,N/A,39
8/1/2015,29,N/A,16,29,N/A,27,23,22,18,17,20,N/A,40,N/A,12,N/A,29,N/A,28,N/A,27,20,N/A,16,24,15,N/A,46,21,19,24,19,27,28,19,21,19,N/A,20,24,28,20,12,15,22,27,N/A,29,21,27,22,24,32,37,20,22,20,25,23,11,27,30,N/A,25
8/2/2015,25,N/A,18,23,N/A,23,23,24,18,17,17,N/A,46,N/A,13,N/A,26,N/A,23,N/A,24,17,N/A,16,31,16,N/A,36,15,18,23,15,21,24,17,16,18,N/A,16,24,31,20,17,16,25,22,25,23,22,N/A,15,27,25,37,18,21,12,24,20,7,15,32,N/A,23
8/3/2015,33,N/A,16,30,N/A,28,30,36,18,21,25,N/A,45,N/A,13,N/A,40,N/A,30,N/A,27,27,N/A,26,33,21,N/A,48,21,17,24,22,31,30,N/A,29,22,N/A,25,22,37,19,14,12,19,24,22,18,19,N/A,19,18,22,33,15,16,15,16,18,6,21,27,N/A,23
8/4/2015,35,N/A,27,32,N/A,30,23,22,18,18,27,N/A,59,N/A,14,N/A,25,N/A,24,N/A,28,23,N/A,19,22,17,N/A,44,21,11,27,20,22,25,20,23,21,N/A,15,29,36,15,20,15,24,28,21,23,21,N/A,22,16,11,31,18,25,17,19,19,7,27,25,N/A,39
8/5/2015,38,N/A,22,33,N/A,22,19,17,18,17,22,N/A,49,N/A,12,N/A,28,N/A,24,N/A,26,21,N/A,25,19,15,N/A,37,22,12,30,21,19,23,21,23,21,N/A,17,23,29,13,14,14,19,17,17,24,20,N/A,23,17,13,23,18,13,23,19,22,4,19,23,N/A,22
8/6/2015,38,N/A,15,25,N/A,18,27,18,17,14,17,N/A,42,N/A,9,N/A,23,N/A,25,N/A,19,17,N/A,15,24,20,N/A,61,25,16,16,21,25,22,26,30,22,N/A,19,27,32,20,17,14,21,29,N/A,26,27,N/A,27,31,12,27,17,17,21,21,21,9,26,26,N/A,26
